EN  RU
Absorb	Поглотить
Take-10 concoctions	Взять-10-зелий
Take-5	Взять-5
Take-5 concoctions	Взять-5-зелий
Take-Arrows	Взять-Стрелы
Take-Beam	Взять-Балку
Take-Coffin	Взять-Гроб
Take-Crackers	Взять-Хлопушки
Take-Log	Взять-Бревно
Take-Meat	Взять-Мясо
Take-Pulley-Beam	Взять-Блок-Балку
Take-Rope	Взять-Верёвку
Take-Rum	Взять-Ром
Take-Runes	Взять-Руны
Take-Tofu	Взять-Тофу
Take-Tool	Взять-Инструмент
Take-Vial	Взять-Флакон
Take-Worms	Взять-Червей
Take-X	Взять-X
Take-axe	Взять-топор
Take-beer	Взять-пиво
Take-boat	Взять-лодку
Take-bowl	Взять-миску
Take-candy	Взять-конфету
Take-chisel	Взять-долото
Take-concoction	Взять-зелье
Take-cutting	Взять-кусок
Take-flyer	Взять-листовку
Take-from	Взять-из
Take-hammer	Взять-молоток
Take-kettle	Взять-чайник
Take-knife	Взять-нож
Take-lure	Взять-приманку
Take-net	Взять-сеть
Take-pickaxe	Взять-кирку
Take-powder	Взять-порошок
Take-preform	Взять-заготовку
Take-remains	Взять-останки
Take-rock	Взять-камень
Take-seed	Взять-семя
Take-sigil	Взять-печатку
Take-supplies	Взять-припасы
Take-tinderbox	Взять-кресало
Tal Teklan	Тал Теклан
Talk	Поговорить
Talk to	Поговорить с
Talk-At	Поговорить-К
Talk-To	Поговорить-С
Talk-into	Поговорить-В
Talk-to	Поговорить-с
Tamper	Подкрутить
Tan-hides	Дубить-шкуры
Tap	Коснуться
Task	Задача
Tears of Guthix	Слёзы Гатикса
Tease	Дразнить
Teeth-grip	Сжать-зубами
Tele	Теле
Teleport	Телепорт
Teleport Menu	Меню телепортации
Teleport menu	Меню телепортации
Teleport to Destination	Телепортироваться к пункту Назначения
Teleport to destination	Телепортироваться к пункту назначения
Tend-to	Ухаживать
Tether	Привязать
Threaten	Угрожать
Throw	Бросить
Throw-at	Бросить-в
Tickets	Билеты
Tie-rope	Привязать-верёвку
Toggle	Переключить
Toggle Counter	Переключить Счётчик
Toggle Fossils	Переключить Окаменелости
Toggle K/D	Переключить К/Д
Toggle XP	Переключить ОП
Toggle warning	Переключить предупреждение
Toggle warnings	Переключить предупреждения
Toggle-minerals	Переключить-минералы
Toggle-talisman	Переключить-талисман
Toggle-vials	Переключить-фиалки
Toggle-warning	Переключить-предупреждение
Top-Floor	Верхний-Этаж
Top-floor	Верхний-этаж
Touch	Прикоснуться
Trade	Торговать
Trade-Builders-Store	Торговать-в-Магазине-Строителей
Trade-Co-op	Торговать-в-кооп
Trade-Drinks	Торговать-Напитками
Trade-General-Store	Торговать-в-Общем-Магазине
Trade-in	Обменять
Trade with	Торговать с
Training	Тренировка
Transform	Преобразовать
Translate	Перевести
Transport	Транспортировать
Trap	Поставить-ловушку
Travel	Путешествовать
Travel to platform	Отправиться на платформу
Travel-End	Пути-Конец
Travel-Start	Пути-Начало
Tread-softly	Идти-тихо
Tree	Дерево
Trick-or-treat	Сладость-или-гадость
Turn	Повернуть
Turn-Off	Выключить
Tutorial	Учебник
Tuxedo-time	Время-смокинга
Unblock	Разблокировать
Uncharge	Разрядить
Ungael	Унгайел
Unlock	Разблокировать
Unmark	Снять метку
Untether	Освободить от привязи
Untie	Развязать
Upgrade	Улучшить
Use	Использовать
Use-Driftwood	Использовать-Плот
Use-Lift	Использовать-Подъёмник
Use-Logs	Использовать-Бревна
Use-rod	Использовать-удочку
Value	Ценить
Varrock	Варрок
Vault	Хранилище
Venerate	Почитать
Vent	Вентиляция
View	Просмотреть
View Laps	Просмотреть Круги
View Stats	Просмотреть Характеристики
View-game	Просмотреть-игру
View-trophies	Просмотреть-трофеи
Visit-Last	Посетить-Последний
Visual-effects	Визуальные-эффекты
Wake-ghost	Разбудить-привидение
Walk	Идти
Walk here	Идти здесь
Walk on	Идти по
Walk through	Пройти через
Walk-Down	Идти-Вниз
Walk-Up	Идти-Вверх
Walk-across	Перейти-через
Walk-along	Идти-вдоль
Walk-down	Идти-вниз
Walk-on	Идти-по
Walk-over	Перейти-через
Walk-past	Пройти-мимо
Walk-through	Пройти-через
Walk-up	Идти-вверх
Warm-by	Согреться-у
Warriors' Guild	Гильдия Воинов
Watch	Смотреть
Watch-shouting	Наблюдать-крики
Watchtower	Сторожевая башня
Water	Полить
Waterbirth Island	Остров Ватерберф
Watermill	Водяная мельница
Waterproof	Водонепроницаемый
Wear	Надеть
Weave	Ткать
Weed	Прополоть
Weiss	Вейсс
Whack	Ударить
Wield	Держать
Wind	Намотать
Wind-up	Завести
Wintertodt Camp	Лагерь Винтертодт
Withdraw-All    Снять-Все
Withdraw-X      Снять-X
Withdraw-All-but-1  Снять-Все-кроме-1
Withdraw	Снять
Woodcutting Guild	Гильдия Лесорубов
Work-at	Работать-над
Worship	Почитать
Yanille	Янилле
Zanaris	Занарис
talk	разговаривать
test	тест
